interaction_id,user_id,provider_id,user_lat,user_lon,shown_rank,was_hired,rating_given,timestamp
INT_000001,USR_0001,DRV_1295,31.396462,73.085478,1,True,4.3,2026-02-04 23:19:37
INT_000002,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2026-02-04 23:19:37
INT_000003,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-02-04 23:19:37
INT_000004,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-02-04 23:19:37
INT_000005,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2026-02-04 23:19:37
INT_000006,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2026-02-04 23:19:37
INT_000007,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2026-02-04 23:19:37
INT_000008,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-02-04 23:19:37
INT_000009,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2026-02-04 23:19:37
INT_000010,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-02-04 23:19:37
INT_000011,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2026-03-09 13:19:37
INT_000012,USR_0001,DRV_2446,31.396462,73.085478,2,True,3.7,2026-03-09 13:19:37
INT_000013,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-03-09 13:19:37
INT_000014,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-03-09 13:19:37
INT_000015,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2026-03-09 13:19:37
INT_000016,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2026-03-09 13:19:37
INT_000017,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2026-03-09 13:19:37
INT_000018,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-03-09 13:19:37
INT_000019,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2026-03-09 13:19:37
INT_000020,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-03-09 13:19:37
INT_000021,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2026-02-03 00:14:37
INT_000022,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2026-02-03 00:14:37
INT_000023,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-02-03 00:14:37
INT_000024,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-02-03 00:14:37
INT_000025,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2026-02-03 00:14:37
INT_000026,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2026-02-03 00:14:37
INT_000027,USR_0001,DRV_0969,31.396462,73.085478,7,True,3.0,2026-02-03 00:14:37
INT_000028,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-02-03 00:14:37
INT_000029,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2026-02-03 00:14:37
INT_000030,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-02-03 00:14:37
INT_000031,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2026-01-22 19:32:37
INT_000032,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2026-01-22 19:32:37
INT_000033,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-01-22 19:32:37
INT_000034,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-01-22 19:32:37
INT_000035,USR_0001,DRV_1375,31.396462,73.085478,5,True,4.0,2026-01-22 19:32:37
INT_000036,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2026-01-22 19:32:37
INT_000037,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2026-01-22 19:32:37
INT_000038,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-01-22 19:32:37
INT_000039,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2026-01-22 19:32:37
INT_000040,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-01-22 19:32:37
INT_000041,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2025-11-30 09:38:37
INT_000042,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2025-11-30 09:38:37
INT_000043,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2025-11-30 09:38:37
INT_000044,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2025-11-30 09:38:37
INT_000045,USR_0001,DRV_1375,31.396462,73.085478,5,True,5.0,2025-11-30 09:38:37
INT_000046,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2025-11-30 09:38:37
INT_000047,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2025-11-30 09:38:37
INT_000048,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2025-11-30 09:38:37
INT_000049,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2025-11-30 09:38:37
INT_000050,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2025-11-30 09:38:37
INT_000051,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2026-02-05 20:05:37
INT_000052,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2026-02-05 20:05:37
INT_000053,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-02-05 20:05:37
INT_000054,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-02-05 20:05:37
INT_000055,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2026-02-05 20:05:37
INT_000056,USR_0001,DRV_0878,31.396462,73.085478,6,True,4.4,2026-02-05 20:05:37
INT_000057,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2026-02-05 20:05:37
INT_000058,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-02-05 20:05:37
INT_000059,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2026-02-05 20:05:37
INT_000060,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-02-05 20:05:37
INT_000061,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2026-01-15 08:03:37
INT_000062,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2026-01-15 08:03:37
INT_000063,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2026-01-15 08:03:37
INT_000064,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2026-01-15 08:03:37
INT_000065,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2026-01-15 08:03:37
INT_000066,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2026-01-15 08:03:37
INT_000067,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2026-01-15 08:03:37
INT_000068,USR_0001,DRV_1092,31.396462,73.085478,8,False,,2026-01-15 08:03:37
INT_000069,USR_0001,DRV_0690,31.396462,73.085478,9,True,4.8,2026-01-15 08:03:37
INT_000070,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2026-01-15 08:03:37
INT_000071,USR_0001,DRV_1295,31.396462,73.085478,1,False,,2025-11-10 14:58:37
INT_000072,USR_0001,DRV_2446,31.396462,73.085478,2,False,,2025-11-10 14:58:37
INT_000073,USR_0001,DRV_2658,31.396462,73.085478,3,False,,2025-11-10 14:58:37
INT_000074,USR_0001,DRV_0139,31.396462,73.085478,4,False,,2025-11-10 14:58:37
INT_000075,USR_0001,DRV_1375,31.396462,73.085478,5,False,,2025-11-10 14:58:37
INT_000076,USR_0001,DRV_0878,31.396462,73.085478,6,False,,2025-11-10 14:58:37
INT_000077,USR_0001,DRV_0969,31.396462,73.085478,7,False,,2025-11-10 14:58:37
INT_000078,USR_0001,DRV_1092,31.396462,73.085478,8,True,2.9,2025-11-10 14:58:37
INT_000079,USR_0001,DRV_0690,31.396462,73.085478,9,False,,2025-11-10 14:58:37
INT_000080,USR_0001,DRV_1059,31.396462,73.085478,10,False,,2025-11-10 14:58:37
INT_000081,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-01-24 15:54:37
INT_000082,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-01-24 15:54:37
INT_000083,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2026-01-24 15:54:37
INT_000084,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-01-24 15:54:37
INT_000085,USR_0002,DRV_0051,24.892284,67.016449,5,False,,2026-01-24 15:54:37
INT_000086,USR_0002,DRV_2639,24.892284,67.016449,6,True,4.1,2026-01-24 15:54:37
INT_000087,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-01-24 15:54:37
INT_000088,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-01-24 15:54:37
INT_000089,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-01-24 15:54:37
INT_000090,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-01-24 15:54:37
INT_000091,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-03-14 21:35:37
INT_000092,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-03-14 21:35:37
INT_000093,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2026-03-14 21:35:37
INT_000094,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-03-14 21:35:37
INT_000095,USR_0002,DRV_0051,24.892284,67.016449,5,True,3.9,2026-03-14 21:35:37
INT_000096,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2026-03-14 21:35:37
INT_000097,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-03-14 21:35:37
INT_000098,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-03-14 21:35:37
INT_000099,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-03-14 21:35:37
INT_000100,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-03-14 21:35:37
INT_000101,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-01-25 22:14:37
INT_000102,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-01-25 22:14:37
INT_000103,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2026-01-25 22:14:37
INT_000104,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-01-25 22:14:37
INT_000105,USR_0002,DRV_0051,24.892284,67.016449,5,False,,2026-01-25 22:14:37
INT_000106,USR_0002,DRV_2639,24.892284,67.016449,6,True,4.5,2026-01-25 22:14:37
INT_000107,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-01-25 22:14:37
INT_000108,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-01-25 22:14:37
INT_000109,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-01-25 22:14:37
INT_000110,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-01-25 22:14:37
INT_000111,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-01-01 11:43:37
INT_000112,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-01-01 11:43:37
INT_000113,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2026-01-01 11:43:37
INT_000114,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-01-01 11:43:37
INT_000115,USR_0002,DRV_0051,24.892284,67.016449,5,True,5.0,2026-01-01 11:43:37
INT_000116,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2026-01-01 11:43:37
INT_000117,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-01-01 11:43:37
INT_000118,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-01-01 11:43:37
INT_000119,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-01-01 11:43:37
INT_000120,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-01-01 11:43:37
INT_000121,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-02-28 19:53:37
INT_000122,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-02-28 19:53:37
INT_000123,USR_0002,DRV_1079,24.892284,67.016449,3,True,5.0,2026-02-28 19:53:37
INT_000124,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-02-28 19:53:37
INT_000125,USR_0002,DRV_0051,24.892284,67.016449,5,False,,2026-02-28 19:53:37
INT_000126,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2026-02-28 19:53:37
INT_000127,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-02-28 19:53:37
INT_000128,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-02-28 19:53:37
INT_000129,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-02-28 19:53:37
INT_000130,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-02-28 19:53:37
INT_000131,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2025-09-21 00:19:37
INT_000132,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2025-09-21 00:19:37
INT_000133,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2025-09-21 00:19:37
INT_000134,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2025-09-21 00:19:37
INT_000135,USR_0002,DRV_0051,24.892284,67.016449,5,False,,2025-09-21 00:19:37
INT_000136,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2025-09-21 00:19:37
INT_000137,USR_0002,DRV_2334,24.892284,67.016449,7,True,3.2,2025-09-21 00:19:37
INT_000138,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2025-09-21 00:19:37
INT_000139,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2025-09-21 00:19:37
INT_000140,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2025-09-21 00:19:37
INT_000141,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2025-11-25 18:51:37
INT_000142,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2025-11-25 18:51:37
INT_000143,USR_0002,DRV_1079,24.892284,67.016449,3,True,4.1,2025-11-25 18:51:37
INT_000144,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2025-11-25 18:51:37
INT_000145,USR_0002,DRV_0051,24.892284,67.016449,5,False,,2025-11-25 18:51:37
INT_000146,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2025-11-25 18:51:37
INT_000147,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2025-11-25 18:51:37
INT_000148,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2025-11-25 18:51:37
INT_000149,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2025-11-25 18:51:37
INT_000150,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2025-11-25 18:51:37
INT_000151,USR_0002,DRV_2303,24.892284,67.016449,1,False,,2026-02-17 11:02:37
INT_000152,USR_0002,DRV_1893,24.892284,67.016449,2,False,,2026-02-17 11:02:37
INT_000153,USR_0002,DRV_1079,24.892284,67.016449,3,False,,2026-02-17 11:02:37
INT_000154,USR_0002,DRV_0710,24.892284,67.016449,4,False,,2026-02-17 11:02:37
INT_000155,USR_0002,DRV_0051,24.892284,67.016449,5,True,4.8,2026-02-17 11:02:37
INT_000156,USR_0002,DRV_2639,24.892284,67.016449,6,False,,2026-02-17 11:02:37
INT_000157,USR_0002,DRV_2334,24.892284,67.016449,7,False,,2026-02-17 11:02:37
INT_000158,USR_0002,DRV_2549,24.892284,67.016449,8,False,,2026-02-17 11:02:37
INT_000159,USR_0002,DRV_0918,24.892284,67.016449,9,False,,2026-02-17 11:02:37
INT_000160,USR_0002,DRV_2619,24.892284,67.016449,10,False,,2026-02-17 11:02:37
INT_000161,USR_0003,DRV_0197,24.849082,66.990597,1,True,3.7,2026-03-12 03:02:37
INT_000162,USR_0003,DRV_1705,24.849082,66.990597,2,False,,2026-03-12 03:02:37
INT_000163,USR_0003,DRV_0948,24.849082,66.990597,3,False,,2026-03-12 03:02:37
INT_000164,USR_0003,DRV_1808,24.849082,66.990597,4,False,,2026-03-12 03:02:37
INT_000165,USR_0003,DRV_1089,24.849082,66.990597,5,False,,2026-03-12 03:02:37
INT_000166,USR_0003,DRV_2245,24.849082,66.990597,6,False,,2026-03-12 03:02:37
INT_000167,USR_0003,DRV_0714,24.849082,66.990597,7,False,,2026-03-12 03:02:37
INT_000168,USR_0003,DRV_1609,24.849082,66.990597,8,False,,2026-03-12 03:02:37
INT_000169,USR_0003,DRV_1093,24.849082,66.990597,9,False,,2026-03-12 03:02:37
INT_000170,USR_0003,DRV_1657,24.849082,66.990597,10,False,,2026-03-12 03:02:37
INT_000171,USR_0003,DRV_0197,24.849082,66.990597,1,False,,2026-02-11 23:41:37
INT_000172,USR_0003,DRV_1705,24.849082,66.990597,2,False,,2026-02-11 23:41:37
INT_000173,USR_0003,DRV_0948,24.849082,66.990597,3,False,,2026-02-11 23:41:37
INT_000174,USR_0003,DRV_1808,24.849082,66.990597,4,True,3.0,2026-02-11 23:41:37
INT_000175,USR_0003,DRV_1089,24.849082,66.990597,5,False,,2026-02-11 23:41:37
INT_000176,USR_0003,DRV_2245,24.849082,66.990597,6,False,,2026-02-11 23:41:37
INT_000177,USR_0003,DRV_0714,24.849082,66.990597,7,False,,2026-02-11 23:41:37
INT_000178,USR_0003,DRV_1609,24.849082,66.990597,8,False,,2026-02-11 23:41:37
INT_000179,USR_0003,DRV_1093,24.849082,66.990597,9,False,,2026-02-11 23:41:37
INT_000180,USR_0003,DRV_1657,24.849082,66.990597,10,False,,2026-02-11 23:41:37
INT_000181,USR_0003,DRV_0197,24.849082,66.990597,1,False,,2026-01-08 06:22:37
INT_000182,USR_0003,DRV_1705,24.849082,66.990597,2,True,3.9,2026-01-08 06:22:37
INT_000183,USR_0003,DRV_0948,24.849082,66.990597,3,False,,2026-01-08 06:22:37
INT_000184,USR_0003,DRV_1808,24.849082,66.990597,4,False,,2026-01-08 06:22:37
INT_000185,USR_0003,DRV_1089,24.849082,66.990597,5,False,,2026-01-08 06:22:37
INT_000186,USR_0003,DRV_2245,24.849082,66.990597,6,False,,2026-01-08 06:22:37
INT_000187,USR_0003,DRV_0714,24.849082,66.990597,7,False,,2026-01-08 06:22:37
INT_000188,USR_0003,DRV_1609,24.849082,66.990597,8,False,,2026-01-08 06:22:37
INT_000189,USR_0003,DRV_1093,24.849082,66.990597,9,False,,2026-01-08 06:22:37
INT_000190,USR_0003,DRV_1657,24.849082,66.990597,10,False,,2026-01-08 06:22:37
INT_000191,USR_0003,DRV_0197,24.849082,66.990597,1,False,,2025-12-13 03:29:37
INT_000192,USR_0003,DRV_1705,24.849082,66.990597,2,False,,2025-12-13 03:29:37
INT_000193,USR_0003,DRV_0948,24.849082,66.990597,3,False,,2025-12-13 03:29:37
INT_000194,USR_0003,DRV_1808,24.849082,66.990597,4,False,,2025-12-13 03:29:37
INT_000195,USR_0003,DRV_1089,24.849082,66.990597,5,False,,2025-12-13 03:29:37
INT_000196,USR_0003,DRV_2245,24.849082,66.990597,6,False,,2025-12-13 03:29:37
INT_000197,USR_0003,DRV_0714,24.849082,66.990597,7,False,,2025-12-13 03:29:37
